13,Clothing,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
14,Electronics,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
15,Free stuff,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
16,Tickets,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
17,Campus jobs,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
18,Transportation,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
19,Music,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
20,Sporting goods,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
21,Jewelry,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
22,Tools,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
23,Appliances,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
24,Swap,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
25,Wanted (looking for),8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
26,Miscellaneous,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,,,,
10,Textbooks,8/5/2015,8/5/2015,N,Y,Administrator,127.0.0.1,34,,,
11,Furniture,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,34,,,
12,Housing,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,34,,,
