14,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
15,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
16,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
17,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
18,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
19,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
20,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
21,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
5,1998 PLYMOUTH BREEZE JUST TRADED CLEAN,18,THIS 1998 PLYMOUTH BREEZE RUNS AND DRIVES EXCELLENT! IT WAS JUST TRADED AND RUNS OUT GREAT! IT COMES WITH A 3 MONTH WARRANTY ON THE ENGINE AND TRANSMISSION AND A CURRENT INSPECTION. ,$ 2,495,8/19/2015,8/6/2015,8/6/2015,N,Y,Administrator,127.0.0.1,40,27
6,Toyota : Tercel DLX Sedan 2-Door 1980 toyota tercel dlx sedan 2 door 1.5 l,18,Attention Toyota lovers:1980 Toyota Corolla tercel in excellent condition,1.5 engine and 5-speed transmission,runs and drives great,only 118,000 original miles,gets 40+ mpg,this truly a gem.Great body with no rust,very straight.Beautiful interior,seats,dash,carpet,all in like-new condition,am-fm cd player.This is a very nice survivor,has not been molested,trades considered,no junk please.The car is located in Clanton,Alabama(35045),asking $3600 or best offer,if interested,please call mike at 05-213-3310 thank you.,$3,600,8/25/2015,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,40,27
22,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
23,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
7,Toyota : Tercel CE SEDAN 2 DOOR 1999 toyota tercel ce 1.5 l engine 40 mpg 2 door sedan real gas saver,18,Toyota tercel ce 1.5 l engine 40 mpg 2 door sedan real gas saver.,$3,399,8/27/2015,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,0,0
8,2005 BMW 5 Series 525i,18,Price $7,999 Mileage 134392 Trim 525i Engine 2.50L VIN WBANA53545B168062 Exterior Color Blue  Call extended service plans available on everything we sell! ,$7,999 ,8/31/2015,8/4/2015,8/4/2015,N,Y,Administrator,127.0.0.1,0,0
4,Lexus Is 250 auto Black 2011,18,Make: Lexus Model: IS Mileage: 108,000 Mi  Year:  2011 Type of car: 4-door Condition: Used,$5,395,8/11/2015,8/7/2015,8/7/2015,N,Y,Administrator,127.0.0.1,0,0
9,ttttttt,18,dsfdsafds,234,8/13/2015,8/7/2015,8/7/2015,N,Y,Administrator,127.0.0.1,0,0
24,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
25,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
26,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
27,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
28,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
29,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
30,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
31,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
32,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
33,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
34,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
35,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
36,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
37,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
38,add post,8,dasfds dfsafnhsda  sdjflka dsajflk,123,8/7/2015,8/7/2015,8/7/2015,N,Y,,,40,7
